,SOURCE_ID,ra,dec,distance_gspphot,phot_g_mean_mag,teff_gspphot
0,6803919687302528,45.46807230961405,5.336219193957437,107.1604,5.9490547,5021.7573
1,13898793343318144,47.161619603691,8.47140235195367,123.4212,5.998988,4965.292
2,16370186245017600,52.60189379567805,11.336366312512377,120.1578,5.1155972,9822.604
3,19400302852196096,38.76719730257708,7.470469368702623,112.5618,5.8909745,4959.0645
4,23420151723059200,37.397324849783,9.565635854442906,96.0621,5.834278,5078.1567
5,29407129975205888,47.84125888774369,13.04791591368295,116.9741,5.8246174,4933.228
6,40834354322264832,52.71832563316209,12.936672293685813,184.6302,3.8361235,4856.5137
7,44022452711871360,54.85750238914934,16.536546632607877,113.6041,5.9390416,5020.1587
8,46042431666550400,63.130872980783856,17.27737247116718,116.2307,5.804848,4813.889
9,48794509270782976,62.29202415440526,19.60907611819197,94.4317,5.212071,4688.2524
10,49298394834276608,64.31506301993932,20.578332998961216,28.6899,4.864198,7460.598
11,53112944270520832,61.33523408583346,22.008324337407693,16.7968,5.756682,5750.9917
12,57064451620025088,55.947273194518715,19.66478829847926,120.728,5.869091,4867.802
13,60248877811546112,47.90808720855174,19.726648284350475,49.2887,4.064342,4814.3438
14,60494103263991168,48.72528453666189,21.04411908941896,128.2837,4.8649964,9535.284
15,60573646058347392,47.334134969627456,20.76106866606433,161.9919,6.0428896,4765.0474
16,61033001402831872,50.68825067127788,20.742002979608355,91.4858,4.7018433,4484.821
17,65319619282119808,59.217327896694236,22.477466785802235,44.2755,5.5315943,6826.506
18,82116961496755840,41.07980878094776,17.76376573172962,114.2947,6.0918503,4571.3945
19,91181575874485632,29.337913226409853,17.81746720132114,138.1325,4.8437476,5016.861
20,96331172942614528,25.62258568627586,20.26551918225611,7.6485,4.99968,5092.744
21,103563657351014144,36.78002265239604,27.012058839589407,139.6444,5.611208,4245.965
22,104290468896756736,33.15662595296719,24.16775846980903,205.3205,5.4979186,4567.559
23,105599987245304192,30.914561966847025,25.935532384765605,51.6424,5.676262,6000.6426
24,106051542927008128,33.94274668694491,25.782648699919744,41.0204,5.6790147,6440.388
25,106200458033043584,32.800188021108085,25.936920636956106,161.2189,5.5583553,4599.7554
26,118803129030766464,50.549585762775145,27.607490343383805,197.8139,5.2388678,4862.537
27,132751808418537472,36.8655860234277,31.801155590376656,79.6686,5.2205296,4721.5664
28,133296307192505472,39.17915873625732,31.607668885265618,110.2225,5.7856574,4901.751
29,135039063187620864,38.945232847342844,34.68733260775787,138.4292,4.4736915,4990.992
30,135525184764395776,44.32201654738285,31.934086690092425,123.612,5.0881357,11012.293
31,137319832555250816,44.765068361382745,35.18316029459311,116.2071,4.561302,4757.817
32,140994842795719680,41.74330878468451,35.98349785373992,127.7914,6.031232,5018.5796
33,143119137916819456,43.42786006164385,38.337105170901495,85.1844,5.2669635,6608.689
34,146036004826230144,67.80497559186638,23.345894927134818,163.5105,6.3469987,4830.2593
35,157092247079651456,76.06074721104441,30.49450671603564,210.6206,5.7911344,4936.7095
36,160242622770291328,72.30362062490293,31.436915178765656,72.3241,5.2369246,4649.8403
37,164262059326729088,61.7514381847838,29.00134411387584,27.7565,5.1164393,6855.559
38,166534337543253120,65.04143879504805,31.953118041361908,171.6421,5.4243217,4763.337
39,172817599818083712,66.15632281287863,33.9594008536612,41.9595,5.681193,6544.766
40,175909804473075968,65.1025267220552,34.56669459662401,74.7837,4.6806498,5017.0757
41,181124307088367232,79.54421715459993,33.37089798909463,107.7685,4.116195,4750.155
42,184433149893809024,81.16308634193963,37.38530042174584,168.3914,4.5159707,4115.5923
43,188771135583573504,79.78833900872726,40.09609817127969,12.5407,4.5258846,5761.5337
44,191419859094194816,87.29332785167465,39.18096092052109,60.5663,4.2502503,4951.9204
45,198271397081746560,73.15811133967404,36.70317157551368,182.8582,4.280531,4531.5464
46,214878111469201664,87.73611430151753,51.51444192101514,80.6486,5.9926805,4954.3135
47,217180007783721472,57.3860792482633,33.09139852205425,90.5058,5.1347938,8675.688
48,223865656954750592,56.404357903837386,38.67633853197494,135.7641,6.108968,4761.7207
49,225643223661003392,62.0635641348381,37.7266257522242,45.7743,5.8268695,4922.2935
50,225668203191521280,62.153501663283706,38.03884341956174,21.1774,5.4032845,6156.2456
51,226698479944265600,59.621758647088825,38.840085727372596,131.4934,6.0246162,4850.662
52,227814278088126848,63.72221249306844,40.48353170582306,108.6748,4.385077,5290.4907
53,228361147685271296,65.06019330409363,41.80795695133973,125.8001,5.7064514,5068.8096
54,238798433608754816,47.82228318257263,39.6116005556922,100.3731,4.303629,4801.5503
55,239836716182552704,46.337398162857305,40.582158965081206,119.0575,5.790175,4851.1333
56,241279069280395904,50.36028874911554,43.32964658483435,48.108,4.930196,8883.68
57,241996500618616960,53.10907335874553,46.056528981678206,37.3516,5.1920724,6521.382
58,244122956108424576,57.518182826386294,44.96772963314105,89.4481,5.4314513,5286.9517
59,248706373407614848,56.02679076378333,48.523607257209676,208.2644,5.450496,4403.5713
60,256031422949890432,72.78859282957269,48.74052049022354,108.9713,5.37402,4810.9194
61,260900747632644352,74.94293443641553,53.155403981240084,228.7318,5.5645556,4379.5977
62,263916708025623680,85.33475293851619,53.478731438569575,12.2628,5.9909477,5176.9434
63,265722999474087424,76.66908986187244,51.59695829274448,26.9669,4.898983,6923.977
64,268432917676280704,85.75710030324981,56.581651308829144,59.9143,5.8008265,4965.123
65,270175746685064704,88.74094972933278,59.88829032330466,131.2593,5.1739206,8833.308
66,275972646872029696,61.65303801418421,54.00821143240344,86.0459,6.0454865,5088.387
67,277676649371573504,72.00156599761362,56.75655195980799,52.2659,5.2256794,7558.6826
68,283455437670454016,86.03508609764042,61.476538281627434,129.3033,5.944503,5097.8965
69,283927609195553792,76.55054730684735,59.02122087902668,196.8605,5.8076453,4565.476
70,294090536905167744,18.437358327088983,24.583606368410475,120.8563,4.391385,4918.979
71,305334280250112896,27.17229174413707,32.69152834332197,27.6819,5.6345162,5878.2847
72,309966797615673856,17.915448478226075,30.08951923458857,51.9817,4.1980224,4631.1567
73,310045825013846144,18.247929048046956,30.064082188547914,117.3613,5.953257,5081.6846
74,311018205609523584,14.45901316301507,28.992187877644007,165.0879,5.1122103,4899.187
75,313520075599307136,16.546709408897264,32.18139076150516,163.3296,5.8721995,4684.866
76,333614200354086656,38.91141478274843,37.31220053642723,215.7156,5.2547116,4493.5522
77,343449606741529728,27.162822304521388,37.95275035937315,115.5655,5.6775155,4892.011
78,344400959177254144,28.32220921829671,40.72977279613491,206.5406,5.0110292,4726.4106
79,347962277340057856,23.969917852177343,41.07641950825153,116.692,6.079334,4560.3633
80,348020482735930112,24.198321215249642,41.4037617615712,13.5205,3.966133,6096.4243
81,348515297330773120,25.451342746949244,42.612699774488185,14.6884,4.800438,5777.9346
82,350442122738958336,24.837369083178974,44.38621335342802,83.1008,4.772018,5161.803
83,351010467171147008,26.110479304091864,46.13955530319338,170.8226,5.8379326,4345.398
84,354780520743373440,33.990857995279875,47.81172430672067,131.9574,6.1000957,4927.2305
85,355431809584909696,36.103986575830724,50.00638343724548,122.8956,4.9302106,5026.739
86,357623445496975872,29.639656139643364,49.20453820535307,81.8347,5.417739,5020.908
87,362706006713454208,14.559440907551492,33.95056749428787,58.3336,5.7349668,4792.4673
88,364785939116867072,14.189228786797868,38.49948894197979,42.3729,3.8432207,7997.0845
89,364887296048209024,7.857095363538775,33.58158898866031,111.1622,5.5429754,4567.2783
90,366461560476811264,7.236070738991826,36.89967498010177,177.9932,6.05048,5269.589
91,368641514078070016,10.279853450151814,39.458649204009305,105.119,5.061861,5148.824
92,373069831518646528,17.577273220838322,42.08128926565274,53.0454,5.5214458,5779.7017
93,375010813139050368,12.453654360590372,41.07882781020357,193.344,4.4909096,13274.97
94,377845319757446912,14.415256896492348,45.83935266326516,125.5192,5.8471565,4805.809
95,397372371388455424,21.916349868710668,45.4061957177476,28.8077,4.69429,6485.3086
96,398030875774246656,20.585284640689324,45.52881684065896,67.6968,4.57383,4665.719
97,398968209436589312,22.525416770962924,47.0070830338264,99.4886,5.011265,4972.3896
98,399594587467372544,24.113230169343527,48.72269921305712,159.8033,5.480146,4859.116
99,418030923572427520,9.03480008335226,54.16844144321516,141.7549,5.055149,12087.365
100,418206501834841600,8.293853625879505,54.89481225467628,107.4116,5.6511397,4800.725
101,423196566637503232,0.12798346556096835,59.55957657874509,127.6978,5.908125,4794.8066
102,424376445693261696,14.054396176153885,57.99648887851692,207.9196,5.7392054,4539.3994
103,427322415301550208,13.266856595321226,61.124725084691256,18.8669,4.6359124,5986.044
104,429685128350863872,4.237619794428828,61.53317034002728,199.7372,5.5047097,5351.9883
105,435535938955017984,48.349577672264836,48.176876684343746,100.4111,5.678236,4999.8555
106,436648129327098496,47.27540485964256,49.612873858437766,10.5637,3.9026392,5873.7397
107,437104838965567360,42.92370416145618,46.84183160562029,118.2241,5.629792,5083.0825
108,438829629114680704,41.05222216366374,49.22805187168278,11.1384,3.9830012,6281.219
109,448233374109147264,52.50040205319733,55.45175365797865,61.1423,5.087484,9080.343
110,459574836550463104,46.41750134864312,56.06886409544544,74.3703,5.8165536,4880.975
111,460022372142253696,46.38494302170412,56.7060289454936,63.1396,4.4813848,4759.442
112,466417441010173568,43.98852509731438,61.52127542822864,26.7602,5.4685206,6359.0244
113,469395399534137728,64.2839662057793,57.860204496660614,73.1197,5.4106274,4603.719
114,480279121534986112,85.6101995976875,65.6975533941765,92.1889,5.2547417,4687.547
115,481773460918244352,88.23127562123456,68.47134695612395,157.403,5.9806285,4958.1636
116,490783752549167872,63.21555170842173,68.50118735832723,199.075,6.00226,4683.902
117,497653157602636928,77.40378114496568,69.63912685218963,122.7852,6.1289577,4574.2593
118,509342237530006016,23.482455582360476,59.23197152420271,64.3041,4.4079986,5032.8604
119,512167948043650816,26.94267663257596,63.85140778824967,10.0376,5.4103966,5236.026
120,522711508641389184,16.08030064024787,61.58007322585319,78.3762,5.692847,5883.189
121,528550533855154304,1.1760164913219344,67.16654988154056,96.3639,5.396713,4730.0757
122,531667443164972416,21.484314352288017,68.13013073330919,61.9767,4.4439874,4833.1187
123,533842792557160576,25.733785655829156,70.62246295889106,92.0345,5.1695166,9907.603
124,534739611789943808,24.628647617442248,73.03997759097248,136.5726,5.026896,5029.847
125,536756498370673792,12.04005046603528,72.67454633367866,95.6165,5.584106,4990.477
126,540077264003238528,7.736218600764686,77.01925183680748,38.4324,5.956759,5005.09
127,545370278619618560,38.494440405552936,71.29396993626402,103.9373,6.189669,4746.1353
128,545900827338842752,39.50804919468595,72.81832240227384,84.6224,4.926409,5145.01
129,547007520151965440,33.338874544346154,74.02755614241035,127.2106,6.019584,5207.903
130,553480551264062848,80.6378397862045,79.23187117015195,20.8123,4.9560766,6270.167
131,553958185986652416,54.85442478472623,75.73965940744888,132.1136,5.993393,5068.804
132,555179502886541824,50.083664483025785,77.73446502837633,78.4393,5.3973985,7623.1494
